招標類型,公告日期,機關名稱,標案案號,標案名稱,採購性質,截止投標,預算金額,連結
公開閱覽,115/05/29,衛生福利部屏東醫院,115GS-03,二極體雷射儀,財物類,115/06/02,"1,462,000",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzQ4MDY=
公開閱覽,115/05/28,臺北榮民總醫院,115C514H,發光二極體式多段倍率裂隙燈含影像系統1套,財物類,115/06/02,"1,300,000",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzI4Nzg=
公開閱覽,115/05/27,臺北市立聯合醫院,115CF20,二極體雷射治療儀,財物類,115/06/08,"2,000,000",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzIwMjM=
公開閱覽,115/05/22,衛生福利部屏東醫院,115GS-03,二極體雷射儀,財物類,115/05/26,"1,462,000",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjY5NDQ=
公開閱覽,115/05/08,臺北榮民總醫院,115C514H,發光二極體式多段倍率裂隙燈含影像系統1套,財物類,115/05/26,"1,300,000",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTUyMzE=
公開閱覽,115/05/08,國防部軍醫局,NB15090P073,二極體雷射等3項,財物類,115/05/18,"1,550,000",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQwMDI=
公開閱覽,115/05/07,衛生福利部桃園醫院,TYGH115016,大腸直腸外科-二極體三代雷射光纖採購案,財物類,115/05/20,"2,799,960",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTI4NDA=
政府採購預告,115/06/05,衛生福利部屏東醫院,115GS-03,二極體雷射儀,財物類,115/06/09,"1,462,000",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyNDA5NTc=
政府採購預告,115/05/29,衛生福利部屏東醫院,115GS-03,二極體雷射儀,財物類,115/06/02,"1,462,000",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzQ4MDY=
政府採購預告,115/05/28,臺北榮民總醫院,115C514H,發光二極體式多段倍率裂隙燈含影像系統1套,財物類,115/06/02,"1,300,000",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzI4Nzg=
政府採購預告,115/05/27,臺北市立聯合醫院,115CF20,二極體雷射治療儀,財物類,115/06/08,"2,000,000",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzIwMjM=
政府採購預告,115/05/22,衛生福利部屏東醫院,115GS-03,二極體雷射儀,財物類,115/05/26,"1,462,000",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjY5NDQ=
政府採購預告,115/05/08,臺北榮民總醫院,115C514H,發光二極體式多段倍率裂隙燈含影像系統1套,財物類,115/05/26,"1,300,000",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTUyMzE=
政府採購預告,115/05/08,國防部軍醫局,NB15090P073,二極體雷射等3項,財物類,115/05/18,"1,550,000",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQwMDI=
政府採購預告,115/05/07,衛生福利部桃園醫院,TYGH115016,大腸直腸外科-二極體三代雷射光纖採購案,財物類,115/05/20,"2,799,960",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTI4NDA=
